scenario,config,world,seed,plant_mismatch,draw,plant_yaw_gain,plant_speed_yaw_loss,result,success,time_s,path_len_m,min_clear_m,stall_s,controller_mean_ms,controller_p95_ms,controller_max_ms,omega_sign_flips,mode_switches,branch_selection_fraction,unique_branch_ids,mean_ess,min_ess,mean_path_error_m,max_path_error_m
dynamic,slip,49,0,0.3,0,0.6663959718031328,0.4808882734725563,success,1,26.8,10.02,0.107,1.0,434.747,620.436,887.598,8,9,0.3675373134328358,21,49.42219738194579,1.0000000071701365,0.2051,0.9834
dynamic,slip,49,0,0.3,1,0.7430900759827268,0.4945949127788845,collision,0,9.5,2.89,-0.005,0.25,490.011,658.512,811.076,3,4,0.28421052631578947,12,92.26414210070448,1.000000012943003,0.3249,0.7918
dynamic,slip,49,0,0.3,2,0.9632534018490456,0.6980441679647583,collision,0,9.15,2.81,-0.004,0.25,776.369,860.608,898.069,4,6,0.3005464480874317,10,87.59379534386153,1.0000000000114868,0.2955,0.7331
dynamic,slip,49,0,0.3,3,0.8875002939113557,0.6302101176848609,collision,0,9.65,3.18,-0.007,0.1,471.055,740.097,864.994,5,4,0.37823834196891193,13,91.58030209751178,1.0,0.3425,0.8711
dynamic,slip,49,0,0.3,4,0.9922272025108682,0.6338684126758615,collision,0,9.05,2.76,-0.01,0.1,768.931,852.402,889.132,2,4,0.3867403314917127,8,89.30989797869174,1.0,0.2927,0.7448
dynamic,slip,49,0,0.3,5,1.0481047644790333,0.4437384789897454,collision,0,9.0,2.82,-0.003,0.1,780.388,864.483,898.353,4,4,0.4,9,88.72597134732229,1.0,0.2997,0.7812
dynamic,slip,49,0,0.3,6,0.6866140180009503,0.47580830955253334,collision,0,9.85,2.85,-0.001,0.2,764.235,851.232,872.388,3,2,0.20304568527918782,13,94.62098495327136,1.0000000070102364,0.3253,0.87
dynamic,slip,49,0,0.3,7,0.8712124808897296,0.4171152636700116,collision,0,9.3,2.59,-0.0,0.1,459.665,645.7,826.748,4,4,0.3655913978494624,12,88.81875483241676,1.0000000017162063,0.2966,0.7185
dynamic,slip,49,1,0.3,0,0.6158776340120589,0.7109011489326243,collision,0,12.9,4.21,-0.004,0.2,486.154,755.918,852.304,2,6,0.35271317829457366,13,74.30511511649263,1.0000306295293695,0.4179,0.9516
dynamic,slip,49,1,0.3,1,0.905092114490157,0.6951831256182274,collision,0,12.45,4.34,-0.004,0.15,762.532,833.894,901.195,3,3,0.37751004016064255,11,83.99840869547221,1.0000000195759187,0.347,0.8335
dynamic,slip,49,1,0.3,2,0.6834513025061567,0.3916429279994923,collision,0,12.5,4.1,-0.003,0.6,453.847,730.76,841.985,2,4,0.308,12,79.05530793806375,1.0000000087852068,0.3715,0.8669
dynamic,slip,49,1,0.3,3,0.822933335213442,0.5395984404398205,collision,0,12.35,4.29,-0.007,0.15,435.739,556.043,749.278,3,3,0.3805668016194332,12,82.68060217775239,1.0000001910842902,0.3606,0.8375
